,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
600,2018-06-19,98.79000000,120.00000000,96.91000000,98.67000000,130065.51125000,130065.51125000,41.892,41.169,40.361
601,2018-06-18,94.95000000,99.88000000,92.89000000,98.70000000,161804.46253000,161804.46253000,41.861,41.012,40.193
602,2018-06-17,96.65000000,98.20000000,94.51000000,94.95000000,119733.09263000,119733.09263000,0.0,0.0,0.0
603,2018-06-16,95.50000000,97.58000000,92.68000000,96.66000000,130013.99526000,130013.99526000,0.0,0.0,0.0
604,2018-06-15,100.89000000,100.98000000,94.49000000,95.50000000,155895.24619000,155895.24619000,41.775,40.849,40.0017
605,2018-06-14,93.40000000,102.87000000,91.65000000,100.88000000,177889.85806000,177889.85806000,41.649,40.687,39.8043
606,2018-06-13,99.68000000,100.45000000,86.71000000,93.37000000,168148.05693000,168148.05693000,41.593,40.5445,39.6353
607,2018-06-12,107.20000000,107.86000000,94.05000000,99.68000000,73444.59887000,73444.59887000,41.438,40.388,39.4307
608,2018-06-11,106.50000000,108.42000000,102.70000000,107.20000000,56836.22735000,56836.22735000,41.288,40.273,39.251
609,2018-06-10,117.25000000,117.47000000,102.75000000,106.48000000,88683.19352000,88683.19352000,0.0,0.0,0.0
610,2018-06-09,119.90000000,120.93000000,116.70000000,117.40000000,17060.66336000,17060.66336000,0.0,0.0,0.0
611,2018-06-08,121.56000000,122.18000000,118.04000000,119.68000000,28982.19754000,28982.19754000,41.132,40.155,39.0433
612,2018-06-07,121.63000000,123.84000000,119.40000000,121.54000000,39573.29608000,39573.29608000,40.944,39.9895,38.8257
613,2018-06-06,122.20000000,122.94000000,118.00000000,121.61000000,36817.66091000,36817.66091000,40.652,39.784,38.611
614,2018-06-05,119.77000000,122.60000000,115.77000000,122.18000000,48879.62750000,48879.62750000,40.446,39.5955,38.401
615,2018-06-04,125.07000000,127.01000000,118.00000000,119.77000000,59686.24550000,59686.24550000,40.163,39.359,38.1757
616,2018-06-03,123.44000000,127.98000000,122.23000000,125.33000000,52884.48398000,52884.48398000,0.0,0.0,0.0
617,2018-06-02,120.19000000,124.50000000,118.66000000,123.44000000,45059.33298000,45059.33298000,0.0,0.0,0.0
618,2018-06-01,118.25000000,120.40000000,116.62000000,120.19000000,51605.41534000,51605.41534000,39.923,39.115,37.9933
619,2018-05-31,117.18000000,121.01000000,116.04000000,118.25000000,55831.28616000,55831.28616000,39.725,38.882,37.849
620,2018-05-30,119.52000000,122.73000000,114.69000000,117.18000000,47541.06432000,47541.06432000,39.496,38.6565,37.721
621,2018-05-29,110.66000000,122.71000000,109.41000000,119.28000000,70835.89135000,70835.89135000,39.338,38.427,37.593
622,2018-05-28,117.72000000,118.97000000,110.00000000,110.82000000,75142.06687000,75142.06687000,0.0,0.0,0.0
623,2018-05-27,118.35000000,119.00000000,116.58000000,117.71000000,119072.15578000,119072.15578000,0.0,0.0,0.0
624,2018-05-26,118.78000000,122.46000000,117.18000000,118.45000000,121594.26960000,121594.26960000,0.0,0.0,0.0
625,2018-05-25,122.65000000,124.58000000,116.63000000,118.87000000,98242.40331000,98242.40331000,39.258,38.2325,37.474
626,2018-05-24,118.29000000,124.85000000,114.70000000,122.58000000,79220.48706000,79220.48706000,39.178,37.999,37.3527
627,2018-05-23,127.90000000,129.35000000,115.83000000,118.37000000,107080.51483000,107080.51483000,39.035,37.7665,37.27
628,2018-05-22,134.25000000,136.25000000,127.31000000,127.89000000,41745.53907000,41745.53907000,38.916,37.5905,37.221
629,2018-05-21,139.63000000,140.25000000,133.43000000,134.25000000,43516.21890000,43516.21890000,38.745,37.3785,37.1623
630,2018-05-20,134.89000000,141.00000000,132.50000000,139.64000000,47003.82267000,47003.82267000,0.0,0.0,0.0
631,2018-05-19,135.95000000,137.77000000,132.60000000,134.95000000,37830.56861000,37830.56861000,0.0,0.0,0.0
632,2018-05-18,132.07000000,137.49000000,128.00000000,135.95000000,66556.79304000,66556.79304000,38.555,37.182,37.11
633,2018-05-17,138.91000000,141.50000000,131.00000000,132.31000000,58209.58480000,58209.58480000,38.307,37.0285,37.052
634,2018-05-16,139.34000000,140.86000000,133.50000000,138.92000000,70852.18798000,70852.18798000,38.039,36.911,37.012
635,2018-05-15,147.10000000,149.67000000,136.91000000,139.35000000,105112.90271000,105112.90271000,37.817,36.8335,36.9567
636,2018-05-14,144.19000000,152.95000000,134.19000000,147.42000000,171489.17098000,171489.17098000,37.516,36.7205,36.8943
637,2018-05-13,141.43000000,146.89000000,136.10000000,144.24000000,89476.86723000,89476.86723000,0.0,0.0,0.0
638,2018-05-12,136.32000000,144.47000000,130.32000000,141.57000000,91975.31387000,91975.31387000,0.0,0.0,0.0
639,2018-05-11,148.11000000,148.50000000,132.97000000,136.32000000,147425.60375000,147425.60375000,37.207,36.582,36.8507
640,2018-05-10,156.75000000,160.90000000,147.22000000,148.16000000,87015.41914000,87015.41914000,36.82,36.44,36.815
641,2018-05-09,159.00000000,160.32000000,150.00000000,156.72000000,96837.57036000,96837.57036000,36.498,36.3875,36.779
642,2018-05-08,164.52000000,168.66000000,155.05000000,158.89000000,113315.93625000,113315.93625000,36.265,36.3735,36.7613
643,2018-05-07,172.10000000,172.81000000,157.30000000,164.59000000,170523.83579000,170523.83579000,36.012,36.371,36.7327
644,2018-05-06,178.86000000,184.98000000,164.80000000,172.32000000,198191.57381000,198191.57381000,0.0,0.0,0.0
645,2018-05-05,169.20000000,184.67000000,168.13000000,179.04000000,226947.81755000,226947.81755000,0.0,0.0,0.0
646,2018-05-04,161.17000000,172.10000000,157.10000000,169.44000000,175174.34128000,175174.34128000,35.809,36.3875,36.747
647,2018-05-03,151.58000000,165.04000000,150.00000000,161.38000000,190732.67746000,190732.67746000,35.75,36.4245,36.7637
648,2018-05-02,148.28000000,153.76000000,146.21000000,151.58000000,76486.25106000,76486.25106000,35.783,36.4985,36.8077
649,2018-05-01,148.36000000,148.89000000,142.44000000,148.29000000,88367.51511000,88367.51511000,35.85,36.5265,36.8737
650,2018-04-30,153.51000000,154.90000000,147.00000000,148.37000000,92445.57179000,92445.57179000,35.925,36.5835,36.9713
651,2018-04-29,151.89000000,156.87000000,148.00000000,153.50000000,93443.53020000,93443.53020000,0.0,0.0,0.0
652,2018-04-28,145.66000000,153.74000000,144.49000000,152.10000000,80642.67696000,80642.67696000,0.0,0.0,0.0
653,2018-04-27,153.19000000,153.80000000,144.44000000,144.90000000,95174.33853000,95174.33853000,35.957,36.6725,37.0567
654,2018-04-26,144.74000000,154.84000000,142.00000000,153.19000000,98478.86456000,98478.86456000,36.06,36.8125,37.182
655,2018-04-25,164.23000000,164.79000000,141.85000000,144.75000000,192757.19523000,192757.19523000,36.277,36.9195,37.3213
656,2018-04-24,152.57000000,166.29000000,152.44000000,164.78000000,172718.06809000,172718.06809000,36.482,37.0095,37.48
657,2018-04-23,146.38000000,153.67000000,145.80000000,152.56000000,73891.75771000,73891.75771000,36.73,37.093,37.6277
658,2018-04-22,148.38000000,153.14000000,144.26000000,146.38000000,84286.79520000,84286.79520000,0.0,0.0,0.0
659,2018-04-21,155.50000000,156.94000000,139.80000000,148.40000000,150940.43752000,150940.43752000,0.0,0.0,0.0
660,2018-04-20,146.50000000,156.49000000,142.62000000,155.71000000,139102.83366000,139102.83366000,36.966,37.216,37.7607
661,2018-04-19,140.36000000,147.48000000,138.51000000,146.71000000,97431.94319000,97431.94319000,37.099,37.2705,37.8583
662,2018-04-18,132.10000000,141.43000000,131.50000000,140.36000000,100942.78845000,100942.78845000,37.214,37.32,37.9007
663,2018-04-17,128.76000000,140.50000000,128.73000000,132.09000000,165601.88021000,165601.88021000,37.203,37.3855,37.9267
664,2018-04-16,132.45000000,133.49000000,124.88000000,128.96000000,86544.75050000,86544.75050000,37.242,37.4945,37.9567
665,2018-04-15,126.40000000,132.99000000,126.40000000,132.45000000,61105.32594000,61105.32594000,0.0,0.0,0.0
666,2018-04-14,125.28000000,129.71000000,124.00000000,126.40000000,77108.42942000,77108.42942000,0.0,0.0,0.0
667,2018-04-13,129.62000000,133.98000000,123.55000000,125.10000000,187842.62140000,187842.62140000,37.388,37.6065,37.9807
668,2018-04-12,118.40000000,130.90000000,112.92000000,129.67000000,232191.22828000,232191.22828000,37.565,37.743,38.0003
669,2018-04-11,114.25000000,119.59000000,112.92000000,118.40000000,62636.41007000,62636.41007000,37.562,37.8435,38.0207
