,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
51,2019-12-20,186.07000000,190.72000000,183.82000000,187.44000000,43236.75189000,43236.75189000,22.118,21.686,22.181
52,2019-12-19,188.90000000,191.00000000,183.49000000,185.96000000,54337.20347000,54337.20347000,22.174,21.724,22.2883
53,2019-12-18,176.45000000,191.75000000,169.66000000,189.00000000,144833.01830000,144833.01830000,22.176,21.77,22.3983
54,2019-12-17,196.26000000,196.96000000,172.10000000,176.45000000,127025.58764000,127025.58764000,21.93,21.832,22.5127
55,2019-12-16,206.87000000,208.67000000,193.85000000,196.27000000,82405.61891000,82405.61891000,21.69,21.9355,22.6373
56,2019-12-15,205.87000000,211.72000000,204.88000000,206.88000000,37076.86920000,37076.86920000,0.0,0.0,0.0
57,2019-12-14,211.44000000,213.11000000,204.67000000,205.82000000,34067.96904000,34067.96904000,0.0,0.0,0.0
58,2019-12-13,206.62000000,212.71000000,206.25000000,211.32000000,33534.36619000,33534.36619000,21.46,21.9785,22.737
59,2019-12-12,207.10000000,207.97000000,203.67000000,206.79000000,26540.59504000,26540.59504000,21.323,21.937,22.8557
60,2019-12-11,206.63000000,207.99000000,204.05000000,207.01000000,15264.51196000,15264.51196000,21.267,21.936,22.9987
61,2019-12-10,208.18000000,209.35000000,203.71000000,206.54000000,27927.89853000,27927.89853000,21.234,21.9445,23.1697
62,2019-12-09,212.42000000,215.08000000,205.40000000,208.27000000,36474.63924000,36474.63924000,21.235,22.065,23.3443
63,2019-12-08,210.97000000,214.89000000,208.00000000,212.58000000,23530.67976000,23530.67976000,0.0,0.0,0.0
64,2019-12-07,212.90000000,216.62000000,210.01000000,211.00000000,26962.16937000,26962.16937000,0.0,0.0,0.0
65,2019-12-06,211.60000000,214.00000000,209.20000000,212.84000000,36081.71398000,36081.71398000,21.254,22.2125,23.5283
66,2019-12-05,207.36000000,214.46000000,200.88000000,211.50000000,58415.66785000,58415.66785000,21.274,22.3455,23.6893
67,2019-12-04,211.47000000,219.68000000,202.50000000,207.47000000,93351.89396000,93351.89396000,21.364,22.5095,23.867
68,2019-12-03,213.72000000,215.95000000,210.99000000,211.50000000,28430.46455000,28430.46455000,21.734,22.804,24.115
69,2019-12-02,214.37000000,216.25000000,209.68000000,213.67000000,43397.32559000,43397.32559000,22.181,23.111,24.3793
70,2019-12-01,217.43000000,218.18000000,209.24000000,214.36000000,46721.57914000,46721.57914000,0.0,0.0,0.0
71,2019-11-30,223.89000000,224.67000000,214.41000000,217.45000000,47622.18011000,47622.18011000,0.0,0.0,0.0
72,2019-11-29,217.40000000,226.49000000,216.90000000,224.00000000,50234.55027000,50234.55027000,22.497,23.3755,24.6487
73,2019-11-28,220.08000000,224.60000000,212.02000000,217.41000000,11556.80086000,11556.80086000,0.0,0.0,0.0
