,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
147,2019-09-15,188.14000000,190.45000000,185.76000000,189.03000000,288928.60827000,288928.60827000,0.0,0.0,0.0
148,2019-09-14,180.96000000,188.79000000,179.75000000,188.13000000,279371.83423000,279371.83423000,0.0,0.0,0.0
149,2019-09-13,180.71000000,181.38000000,177.54000000,180.95000000,264422.54059000,264422.54059000,17.925,17.85,17.8127
150,2019-09-12,178.30000000,182.38000000,176.62000000,180.72000000,203543.13663000,203543.13663000,17.749,17.78,17.826
151,2019-09-11,179.87000000,182.80000000,173.00000000,178.28000000,278555.46708000,278555.46708000,17.546,17.723,17.8873
152,2019-09-10,180.52000000,184.36000000,177.00000000,179.81000000,238387.50999000,238387.50999000,17.428,17.677,17.9527
153,2019-09-09,181.18000000,185.38000000,176.01000000,180.54000000,273729.94868000,273729.94868000,17.395,17.6505,18.042
154,2019-09-08,177.58000000,184.18000000,176.13000000,181.19000000,290083.47501000,290083.47501000,0.0,0.0,0.0
155,2019-09-07,169.11000000,180.80000000,168.30000000,177.62000000,253831.23169000,253831.23169000,0.0,0.0,0.0
156,2019-09-06,173.74000000,177.87000000,165.00000000,169.08000000,315822.37984000,315822.37984000,17.397,17.6455,18.135
157,2019-09-05,174.70000000,176.19000000,168.10000000,173.75000000,232753.83596000,232753.83596000,17.428,17.6535,18.2407
158,2019-09-04,178.79000000,180.14000000,173.00000000,174.72000000,286226.25171000,286226.25171000,17.54,17.67,18.3567
159,2019-09-03,178.00000000,183.00000000,174.09000000,178.75000000,327857.85447000,327857.85447000,17.637,17.7,18.4733
160,2019-09-02,170.73000000,181.00000000,170.02000000,178.05000000,294627.31247000,294627.31247000,0.0,0.0,0.0
161,2019-09-01,171.52000000,173.42000000,167.61000000,170.74000000,191140.52368000,191140.52368000,0.0,0.0,0.0
162,2019-08-31,168.48000000,174.98000000,165.63000000,171.57000000,194999.19583000,194999.19583000,0.0,0.0,0.0
163,2019-08-30,169.03000000,170.77000000,165.55000000,168.50000000,238616.68868000,238616.68868000,17.736,17.7095,18.5947
164,2019-08-29,173.03000000,173.50000000,163.61000000,169.01000000,295241.21600000,295241.21600000,17.775,17.7565,18.703
165,2019-08-28,187.30000000,188.25000000,166.48000000,173.03000000,334480.61761000,334480.61761000,17.811,17.8645,18.8193
166,2019-08-27,188.61000000,189.49000000,184.75000000,187.24000000,157898.56300000,157898.56300000,17.9,18.058,18.971
167,2019-08-26,186.54000000,193.70000000,186.00000000,188.67000000,254397.79472000,254397.79472000,17.926,18.215,19.077
168,2019-08-25,190.60000000,192.40000000,182.80000000,186.54000000,169862.91522000,169862.91522000,0.0,0.0,0.0
169,2019-08-24,194.02000000,194.09000000,185.63000000,190.60000000,167806.34294000,167806.34294000,0.0,0.0,0.0
170,2019-08-23,190.36000000,196.19000000,188.16000000,194.02000000,192548.51552000,192548.51552000,17.906,18.3655,19.174
171,2019-08-22,187.45000000,195.14000000,182.80000000,190.35000000,245575.98772000,245575.98772000,17.894,18.504,19.26
172,2019-08-21,196.55000000,197.20000000,179.53000000,187.45000000,284973.64194000,284973.64194000,17.879,18.647,19.3537
173,2019-08-20,202.24000000,202.75000000,194.45000000,196.60000000,189297.75494000,189297.75494000,17.8,18.765,19.432
174,2019-08-19,194.32000000,203.59000000,192.70000000,202.28000000,239541.59780000,239541.59780000,17.763,18.8915,19.5217
175,2019-08-18,185.67000000,197.91000000,183.35000000,194.33000000,175363.50620000,175363.50620000,0.0,0.0,0.0
176,2019-08-17,184.83000000,187.00000000,181.83000000,185.59000000,138799.61508000,138799.61508000,0.0,0.0,0.0
177,2019-08-16,187.98000000,188.39000000,178.04000000,184.88000000,282177.01584000,282177.01584000,17.683,19.024,19.615
178,2019-08-15,187.08000000,189.95000000,181.23000000,188.03000000,237953.09426000,237953.09426000,17.738,19.167,19.7207
179,2019-08-14,209.31000000,209.90000000,183.49000000,187.10000000,325228.98931000,325228.98931000,17.918,19.3235,19.831
180,2019-08-13,211.58000000,214.30000000,204.00000000,209.30000000,166922.48201000,166922.48201000,18.216,19.5065,19.9377
181,2019-08-12,216.41000000,216.81000000,209.75000000,211.41000000,122760.94619000,122760.94619000,18.504,19.6525,20.052
182,2019-08-11,206.48000000,216.94000000,206.14000000,216.42000000,188474.09048000,188474.09048000,0.0,0.0,0.0
183,2019-08-10,210.52000000,215.00000000,202.60000000,206.48000000,252614.02389000,252614.02389000,0.0,0.0,0.0
184,2019-08-09,221.38000000,221.79000000,207.30000000,210.53000000,232062.12757000,232062.12757000,18.825,19.808,20.15
185,2019-08-08,226.11000000,228.50000000,215.51000000,221.39000000,236886.35423000,236886.35423000,19.114,19.943,20.231
186,2019-08-07,226.31000000,231.25000000,220.95000000,226.10000000,279104.70370000,279104.70370000,19.415,20.091,20.315
187,2019-08-06,233.53000000,239.15000000,223.03000000,226.28000000,341279.08159000,341279.08159000,19.73,20.248,20.409
188,2019-08-05,221.79000000,236.25000000,221.79000000,233.54000000,307956.27211000,307956.27211000,20.02,20.401,20.4947
189,2019-08-04,222.14000000,223.34000000,216.90000000,221.79000000,135622.02580000,135622.02580000,0.0,0.0,0.0
190,2019-08-03,217.69000000,224.51000000,216.62000000,222.14000000,181591.95296000,181591.95296000,0.0,0.0,0.0
191,2019-08-02,216.80000000,222.18000000,214.31000000,217.61000000,206867.03039000,206867.03039000,20.365,20.581,20.596
192,2019-08-01,218.42000000,219.39000000,210.54000000,216.84000000,186806.18844000,186806.18844000,20.596,20.712,20.688
193,2019-07-31,209.57000000,218.79000000,209.20000000,218.42000000,207213.55658000,207213.55658000,20.729,20.7875,20.7197
194,2019-07-30,210.84000000,214.36000000,204.40000000,209.58000000,222683.79393000,222683.79393000,20.797,20.7985,20.718
195,2019-07-29,211.58000000,215.83000000,206.59000000,210.89000000,226941.28000000,226941.28000000,20.801,20.826,20.7287
196,2019-07-28,207.30000000,213.52000000,198.24000000,211.62000000,218801.16693000,218801.16693000,0.0,0.0,0.0
197,2019-07-27,218.81000000,223.30000000,203.00000000,207.30000000,301209.41113000,301209.41113000,0.0,0.0,0.0
198,2019-07-26,219.14000000,220.00000000,212.71000000,218.81000000,197781.98653000,197781.98653000,20.791,20.8125,20.734
199,2019-07-25,216.31000000,225.12000000,215.23000000,219.14000000,280370.29627000,280370.29627000,20.772,20.7895,20.741
200,2019-07-24,212.55000000,218.28000000,202.00000000,216.31000000,331162.64840000,331162.64840000,20.767,20.765,20.744
201,2019-07-23,217.59000000,219.55000000,208.36000000,212.48000000,317876.48242000,317876.48242000,20.766,20.7485,20.7623
202,2019-07-22,225.49000000,228.34000000,212.25000000,217.51000000,271310.40446000,271310.40446000,20.782,20.732,20.775
203,2019-07-21,228.25000000,229.66000000,216.99000000,225.38000000,270046.15190000,270046.15190000,0.0,0.0,0.0
204,2019-07-20,220.84000000,235.09000000,219.78000000,228.20000000,325393.97225000,325393.97225000,0.0,0.0,0.0
205,2019-07-19,225.75000000,226.23000000,212.52000000,220.73000000,371622.21865000,371622.21865000,20.797,20.7115,20.7863
206,2019-07-18,210.80000000,229.65000000,205.71000000,225.73000000,609081.49094000,609081.49094000,20.828,20.734,20.8027
207,2019-07-17,198.94000000,219.86000000,191.84000000,210.81000000,694854.10132000,694854.10132000,20.846,20.715,20.8227
208,2019-07-16,228.20000000,234.50000000,192.25000000,198.88000000,715604.83198000,715604.83198000,20.8,20.6785,20.8087
209,2019-07-15,225.83000000,235.58000000,203.08000000,228.20000000,715991.20688000,715991.20688000,20.851,20.6925,20.8253
210,2019-07-14,268.80000000,269.74000000,222.81000000,225.85000000,540052.58421000,540052.58421000,0.0,0.0,0.0
211,2019-07-13,274.53000000,275.04000000,262.20000000,268.79000000,205959.26849000,205959.26849000,0.0,0.0,0.0
212,2019-07-12,268.67000000,278.99000000,266.21000000,274.62000000,266734.54213000,266734.54213000,20.834,20.7055,20.85
213,2019-07-11,289.23000000,289.23000000,262.12000000,268.63000000,501592.75211000,501592.75211000,20.807,20.7255,20.8787
214,2019-07-10,307.46000000,314.18000000,281.04000000,289.23000000,457080.94063000,457080.94063000,20.763,20.7325,20.9023
215,2019-07-09,311.96000000,318.19000000,302.69000000,307.46000000,309447.34927000,309447.34927000,20.731,20.7605,20.9517
216,2019-07-08,304.72000000,313.74000000,300.78000000,311.97000000,289607.34177000,289607.34177000,20.682,20.7715,20.9807
217,2019-07-07,288.29000000,309.69000000,284.25000000,304.72000000,246111.36595000,246111.36595000,0.0,0.0,0.0
218,2019-07-06,287.32000000,296.71000000,285.28000000,288.29000000,196064.64705000,196064.64705000,0.0,0.0,0.0
219,2019-07-05,282.86000000,294.89000000,280.78000000,287.47000000,261139.28341000,261139.28341000,20.626,20.781,21.007
220,2019-07-04,301.11000000,302.74000000,280.53000000,282.73000000,270791.36878000,270791.36878000,0.0,0.0,0.0
221,2019-07-03,291.47000000,302.89000000,285.00000000,301.14000000,370521.96637000,370521.96637000,20.64,20.79,21.0483
222,2019-07-02,295.03000000,297.57000000,272.65000000,291.48000000,493772.96579000,493772.96579000,20.584,20.811,21.092
223,2019-07-01,292.89000000,303.49000000,280.13000000,295.07000000,489769.27421000,489769.27421000,20.557,20.813,21.1413
224,2019-06-30,317.64000000,323.50000000,290.12000000,292.70000000,489028.56835000,489028.56835000,0.0,0.0,0.0
225,2019-06-29,310.95000000,324.74000000,295.18000000,317.62000000,425555.16264000,425555.16264000,0.0,0.0,0.0
226,2019-06-28,298.35000000,313.58000000,295.22000000,311.05000000,529174.47722000,529174.47722000,20.534,20.8125,21.1823
227,2019-06-27,339.53000000,347.00000000,280.01000000,298.35000000,1016826.44900000,1016826.44900000,20.577,20.858,21.2567
228,2019-06-26,318.29000000,366.80000000,315.57000000,339.39000000,1008551.28721000,1008551.28721000,20.644,20.9145,21.3273
